"Graded.Index"	"Peak.Current"	"SS.Current"	"Branch.Number"	"SGN.Type"	"Spike.Type"	"MP.Classification"	"Age"	"CDR"	"AP.Latency.threshold"	"AHP.tau"	"Current.Threshold"	"Voltage.Threshold"	"Vm"	"AP.Height"	"Rin"	"ss.30"	"ss.max"	"g.30"	"gmax"	"Vmid"	"g30.gmax"	"Outward.inactivation.tau"	"AP.Latency"
"99"	0.944533923	1690	1099	3	"Type I"	"Graded"	"M"	8	NA	NA	NA	70.67727146	-69.30542147	-71.62475746	56.45752079	1.346108827	193.4814453	1564.331055	3.379588564	11.40599212	-9.643942931	0.296299395	245.79	21.6
"100"	1.167986438	6461.2	5931.4	2	"Type I"	"Transient"	"M"	8	0.28	10.7	7	100.798718	-56.33545048	-61.79809708	38.97094814	0.257730603	1035.15625	8669.433594	18.08133188	63.21135862	0.457887107	0.286045614	365.58	8.6
"101"	NA	NA	NA	NA	"Type II"	""	"T"	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102"	0.139832001	NA	NA	NA	""	"Graded"	""	12	NA	4.6	NA	80.83950482	-61.3403334	-64.75830223	9.063720906	0.122832049	1120.605469	3651.733398	19.57389466	26.62584896	-68.42072028	0.735146312	NA	3.4
"103"	0.428612042	NA	NA	NA	""	"Graded"	""	3	NA	NA	NA	131.154013	-8.331299014	-15.13671909	40.49682708	0.232688279	134.8876953	1126.708984	2.356116949	8.21516249	-34.07270659	0.286801016	NA	NA
"104"	0.580324546	NA	NA	7	"Type I"	"Graded"	"M"	4	0.08	12.8	NA	70.80149595	-44.15893653	-46.90551863	25.75683651	0.316406745	256.3476563	2014.770508	4.477688319	14.69027702	-9.968583004	0.304806255	102.22	10.3
"105"	0.16521771	NA	NA	NA	""	"Graded"	""	4	NA	52.6	NA	20.39746954	-28.07	-18.49365276	4.760742294	0.112124978	256.9580078	2599.487305	4.488349481	18.95361703	-4.395096276	0.236807015	NA	NA
"106"	0.384610844	NA	NA	NA	""	"Graded"	""	8	NA	NA	NA	20.2627135	NA	-65.61279444	9.338379115	0.796092476	656.7382813	2832.641602	11.47141103	20.65361274	-25.09419774	0.555419101	NA	31
"107"	0.181516207	NA	NA	NA	""	"Graded"	""	5	NA	58.4	NA	90.88613041	NA	-55.88	11.53564479	0.07785138	87.28027344	2881.469727	1.524546261	21.00963278	-19.56313586	0.072564156	202.47	15.8
"108"	0.560766033	NA	NA	NA	""	"Graded"	""	5	NA	18.3	NA	40.45290287	NA	-55.66406374	24.29199273	0.714054207	376.5869141	2816.162109	6.577937364	20.53345597	-8.575858362	0.320352179	84.16	NA
"109"	0.232061619	NA	NA	NA	""	"Graded"	""	7	NA	12.1	NA	90.93807013	-50.23193472	-53.25317502	17.8527836	0.229880309	620.1171875	5142.822266	10.83174127	37.49781102	-2.628323083	0.288863296	161.31	8.9
